event_id,timestamp,object_id,object_type,behavior,zone,position_x,position_y,duration,confidence,metadata,source
crowd_center_area_1753612019,2025-07-27 18:26:59.015046,-1,crowd,crowding,center_area,0.0,0.0,,1.0,"{""count"": 9, ""threshold"": 5}",system
speed_1_1753612019,2025-07-27 18:26:59.112717,1,person,abnormal_speed,left_area,163.51714515686035,340.72894287109375,,1.0,"{""speed"": 642.7172420037747, ""threshold"": 100.0}",20250727_182656_1338590-hd_1920_1080_30fps.mp4
speed_2_1753612019,2025-07-27 18:26:59.112717,2,person,abnormal_speed,center_area,1091.8323974609375,276.2677917480469,,1.0,"{""speed"": 109.89197830993933, ""threshold"": 100.0}",20250727_182656_1338590-hd_1920_1080_30fps.mp4
speed_3_1753612019,2025-07-27 18:26:59.112717,3,person,abnormal_speed,right_area,1442.9702758789062,770.3705825805664,,1.0,"{""speed"": 101.95761913887476, ""threshold"": 100.0}",20250727_182656_1338590-hd_1920_1080_30fps.mp4
speed_4_1753612019,2025-07-27 18:26:59.112717,4,person,abnormal_speed,center_area,1199.5606689453125,370.3638916015625,,1.0,"{""speed"": 106.07023048476952, ""threshold"": 100.0}",20250727_182656_1338590-hd_1920_1080_30fps.mp4
speed_5_1753612019,2025-07-27 18:26:59.112717,5,person,abnormal_speed,entrance,517.9230651855469,266.2063293457031,,1.0,"{""speed"": 172.91578478860941, ""threshold"": 100.0}",20250727_182656_1338590-hd_1920_1080_30fps.mp4
speed_7_1753612019,2025-07-27 18:26:59.112717,7,person,abnormal_speed,center_area,1207.010498046875,527.7822418212891,,1.0,"{""speed"": 144.45869453154515, ""threshold"": 100.0}",20250727_182656_1338590-hd_1920_1080_30fps.mp4
speed_8_1753612019,2025-07-27 18:26:59.112717,8,person,abnormal_speed,center_area,1027.0867614746094,699.7613067626953,,1.0,"{""speed"": 156.7249576284768, ""threshold"": 100.0}",20250727_182656_1338590-hd_1920_1080_30fps.mp4
speed_9_1753612019,2025-07-27 18:26:59.112717,9,person,abnormal_speed,center_area,605.0474090576172,377.47479248046875,,1.0,"{""speed"": 363.8232959754535, ""threshold"": 100.0}",20250727_182656_1338590-hd_1920_1080_30fps.mp4
speed_13_1753612019,2025-07-27 18:26:59.112717,13,person,abnormal_speed,left_area,179.35921478271484,666.7672576904297,,1.0,"{""speed"": 329.9306939650905, ""threshold"": 100.0}",20250727_182656_1338590-hd_1920_1080_30fps.mp4
speed_15_1753612019,2025-07-27 18:26:59.112717,15,person,abnormal_speed,center_area,1378.9683837890625,436.7961730957031,,1.0,"{""speed"": 112.579473456984, ""threshold"": 100.0}",20250727_182656_1338590-hd_1920_1080_30fps.mp4
speed_17_1753612019,2025-07-27 18:26:59.112717,17,person,abnormal_speed,center_area,933.8645324707031,504.0930633544922,,1.0,"{""speed"": 299.7682395937595, ""threshold"": 100.0}",20250727_182656_1338590-hd_1920_1080_30fps.mp4
speed_18_1753612019,2025-07-27 18:26:59.112717,18,person,abnormal_speed,center_area,563.6158447265625,638.5425415039062,,1.0,"{""speed"": 128.94036594045377, ""threshold"": 100.0}",20250727_182656_1338590-hd_1920_1080_30fps.mp4
crowd_center_area_1753612019,2025-07-27 18:26:59.112717,-1,crowd,crowding,center_area,0.0,0.0,,1.0,"{""count"": 9, ""threshold"": 5}",system
speed_1_1753612019,2025-07-27 18:26:59.190337,1,person,abnormal_speed,left_area,180.9905242919922,334.46087646484375,,1.0,"{""speed"": 238.91390607577463, ""threshold"": 100.0}",20250727_182656_1338590-hd_1920_1080_30fps.mp4
speed_5_1753612019,2025-07-27 18:26:59.190337,5,person,abnormal_speed,center_area,543.9729309082031,303.24444580078125,,1.0,"{""speed"": 582.7739613528129, ""threshold"": 100.0}",20250727_182656_1338590-hd_1920_1080_30fps.mp4
speed_7_1753612019,2025-07-27 18:26:59.190337,7,person,abnormal_speed,center_area,1198.7960815429688,529.7578735351562,,1.0,"{""speed"": 108.73428933732907, ""threshold"": 100.0}",20250727_182656_1338590-hd_1920_1080_30fps.mp4
speed_8_1753612019,2025-07-27 18:26:59.190337,8,person,abnormal_speed,center_area,1039.1480712890625,702.4939270019531,,1.0,"{""speed"": 159.16330285100676, ""threshold"": 100.0}",20250727_182656_1338590-hd_1920_1080_30fps.mp4
speed_9_1753612019,2025-07-27 18:26:59.190337,9,person,abnormal_speed,center_area,610.3935241699219,385.5970916748047,,1.0,"{""speed"": 125.14569887201496, ""threshold"": 100.0}",20250727_182656_1338590-hd_1920_1080_30fps.mp4
speed_10_1753612019,2025-07-27 18:26:59.190337,10,person,abnormal_speed,center_area,1069.19140625,538.3309020996094,,1.0,"{""speed"": 129.00395293869906, ""threshold"": 100.0}",20250727_182656_1338590-hd_1920_1080_30fps.mp4
speed_11_1753612019,2025-07-27 18:26:59.190337,11,person,abnormal_speed,left_area,400.22337341308594,622.7315673828125,,1.0,"{""speed"": 306.941551608954, ""threshold"": 100.0}",20250727_182656_1338590-hd_1920_1080_30fps.mp4
speed_15_1753612019,2025-07-27 18:26:59.190337,15,person,abnormal_speed,center_area,1400.4874267578125,415.7991027832031,,1.0,"{""speed"": 386.94591502031653, ""threshold"": 100.0}",20250727_182656_1338590-hd_1920_1080_30fps.mp4
speed_18_1753612019,2025-07-27 18:26:59.190337,18,person,abnormal_speed,center_area,541.3214111328125,652.7958984375,,1.0,"{""speed"": 340.5571634497283, ""threshold"": 100.0}",20250727_182656_1338590-hd_1920_1080_30fps.mp4
